rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height
1,1,00:00:20.767000,623,A,1.0,發長球,,1.0,A2,227,298,2,,,0,0,,A2,281.0,860.0,1.0
1,2,00:00:21.733000,652,B,,殺球,,,A2,281,860,1,,,0,0,,C2,358.0,148.0,2.0
1,3,00:00:22.100000,663,A,,未擊球,,,C2,358,148,2,落地,對手前一顆質量差,0,1,B,,,,
2,1,00:00:33.300000,999,B,1.0,發小球,,1.0,A2,174,646,2,,,0,1,,A2,241.0,293.0,2.0
2,2,00:00:34,1020,A,,放小球,,1.0,A2,241,293,2,,,0,1,,C1,74.0,562.0,2.0
2,3,00:00:34.800000,1044,B,,放小球,,1.0,C1,74,562,2,,,0,1,,B1,92.0,423.0,2.0
2,4,00:00:35.767000,1073,A,,挑球,,,B1,92,423,2,,,0,1,,A4,148.0,942.0,2.0
2,5,00:00:37.567000,1127,B,,未擊球,,,A4,148,942,2,出界,對手失誤,0,2,B,,,,
3,1,00:00:47.133000,1414,B,1.0,發小球,,1.0,A2,192,648,2,,,0,2,,A1,141.0,366.0,2.0
3,2,00:00:47.733000,1432,A,,放小球,,,A1,141,366,2,,,0,2,,A1,218.0,581.0,2.0
3,3,00:00:48.600000,1458,B,,挑球,,,A1,218,581,2,,,0,2,,A2,156.0,82.0,1.0
3,4,00:00:49.533000,1486,A,,殺球,,,A2,156,82,1,,,0,2,,C2,91.0,718.0,2.0
3,5,00:00:49.967000,1499,B,,擋小球,,1.0,C2,91,718,2,,,0,2,,A2,145.0,294.0,2.0
3,6,00:00:50.867000,1526,A,,放小球,,,A2,145,294,2,,,0,2,,C1,95.0,591.0,2.0
3,7,00:00:51.667000,1550,B,,挑球,,1.0,C1,95,591,2,,,0,2,,C3,344.0,55.0,1.0
3,8,00:00:52.833000,1585,A,,長球,,1.0,C3,344,55,1,,,0,2,,B2,329.0,810.0,1.0
3,9,00:00:53.600000,1608,B,,殺球,,,B2,329,810,1,,,0,2,,C2,318.0,100.0,2.0
3,10,00:00:54,1620,A,,擋小球,,1.0,C2,318,100,2,,,0,2,,A2,113.0,680.0,1.0
3,11,00:00:54.600000,1638,B,,擋小球,,1.0,A2,113,680,1,,,0,2,,A1,205.0,369.0,2.0
3,12,00:00:55.467000,1664,A,,挑球,,1.0,A1,205,369,2,,,0,2,,C2,85.0,843.0,1.0
3,13,00:00:56.600000,1698,B,,切球,1.0,,C2,85,843,1,,,0,2,,C1,315.0,324.0,2.0
3,14,00:00:57.333000,1720,A,,放小球,,1.0,C1,315,324,2,,,0,2,,B1,340.0,501.0,2.0
3,15,00:00:58.333000,1750,B,,放小球,,,B1,340,501,2,,,0,2,,C1,353.0,427.0,2.0
3,16,00:00:59.300000,1779,A,,放小球,,1.0,C1,353,427,2,,,0,2,,A1,115.0,487.0,2.0
3,17,00:01:00.200000,1806,B,,放小球,,1.0,A1,115,487,2,,,0,2,,B1,76.0,425.0,2.0
